MERCHANT_ID,INDUSTRY,COUNTRY,BUSINESS_SIZE,FIRST_CHARGE_DATE,TOTAL_VOLUME_LTM,SUBSCRIPTION_VOLUME_LTM,CHECKOUT_VOLUME_LTM,PAYMENT_LINK_VOLUME_LTM,DAILY_VOL_STDDEV,ACTIVE_DAYS_COUNT,IS_EXISTING_SUBSCRIBER,IS_LOW_VOLUME,IS_CHURNED,IS_SUITABLE_MERCHANT,SCORE_FREQUENCY,SCORE_PRICING_CONSISTENCY,SCORE_PRODUCT_FIT,SCORE_INDUSTRY,SCORE_MATURITY,SCORE_SIZE,TOTAL_PROPENSITY_SCORE,OUTREACH_SEGMENT
51b4841b,Business services,US,large,2040-11-24 00:00:00.000,39575000,0,39575000,0,77058.031206842,329,false,false,false,true,1,1,1,1,1,1,6,Tier 1: High Propensity (Score 5-6)
bf663cc3,Leisure,US,medium,2041-06-17 00:00:00.000,2235900,0,465500,0,12185.598587069,196,false,false,false,true,1,1,1,1,1,1,6,Tier 1: High Propensity (Score 5-6)
0d054da2,"Religion, politics & other memberships",US,medium,2041-01-18 00:00:00.000,6000000,0,0,200000,77475.904146195,54,false,false,false,true,1,1,1,1,1,1,6,Tier 1: High Propensity (Score 5-6)
074c2440,"Religion, politics & other memberships",US,medium,2041-04-20 00:00:00.000,8855500,0,8855500,0,542505.295759358,176,false,false,false,true,1,1,1,1,1,1,6,Tier 1: High Propensity (Score 5-6)
bf0533a6,Rentals,AE,medium,2041-08-01 00:00:00.000,14447369,0,12997636,632984,244705.538698746,67,false,false,false,true,1,0,1,1,1,1,5,Tier 1: High Propensity (Score 5-6)
a59de8a4,Education,MY,large,2039-12-20 00:00:00.000,2354868,0,2354868,0,21942.089203805,138,false,false,false,true,1,0,1,1,1,1,5,Tier 1: High Propensity (Score 5-6)
ef917d57,Education,US,medium,2040-09-16 00:00:00.000,15620900,0,0,0,301837.901086297,230,false,false,false,true,1,1,0,1,1,1,5,Tier 1: High Propensity (Score 5-6)
22d27a19,"Religion, politics & other memberships",AU,small,2041-03-07 00:00:00.000,18747000,0,18747000,0,43573.534494388,418,false,false,false,true,1,1,1,1,1,0,5,Tier 1: High Propensity (Score 5-6)
60bfe5a6,Education,MX,small,2040-06-03 00:00:00.000,1778900,0,0,3000,2817.046246085,414,false,false,false,true,1,1,1,1,1,0,5,Tier 1: High Propensity (Score 5-6)
77752157,Business services,US,small,2040-11-27 00:00:00.000,4252000,0,4252000,0,9897.935168945,328,false,false,false,true,1,1,1,1,1,0,5,Tier 1: High Propensity (Score 5-6)
87fbe21d,"Religion, politics & other memberships",US,small,2038-12-04 00:00:00.000,558500,0,558500,0,10624.121947523,54,false,false,false,true,1,1,1,1,1,0,5,Tier 1: High Propensity (Score 5-6)
fab7fb7b,Charity,US,medium,2036-10-24 00:00:00.000,3836400,0,0,95500,110791.139834656,112,false,false,false,true,1,1,1,0,1,1,5,Tier 1: High Propensity (Score 5-6)
b2dcf52b,Education,US,large,2041-11-19 00:00:00.000,1458270,0,1393520,0,24007.474551759,65,false,false,false,true,1,0,1,1,1,1,5,Tier 1: High Propensity (Score 5-6)
80d28744,Education,GB,medium,2039-11-05 00:00:00.000,2883945,0,68558,0,7234.032562024,402,false,false,false,true,1,0,1,1,1,1,5,Tier 1: High Propensity (Score 5-6)
71130a4e,Business services,SG,medium,2041-07-15 00:00:00.000,1560847,0,0,1560847,21861.793290613,69,false,false,false,true,1,0,1,1,1,1,5,Tier 1: High Propensity (Score 5-6)
05f13790,Leisure,US,small,2041-05-19 00:00:00.000,1964500,0,0,155000,40396.502436649,63,false,false,false,true,1,1,1,1,1,0,5,Tier 1: High Propensity (Score 5-6)
0b4f1fb1,Business services,MY,medium,2041-07-16 00:00:00.000,15540705,0,15352884,118241,108167.602073718,267,false,false,false,true,1,0,1,1,1,1,5,Tier 1: High Propensity (Score 5-6)
44dfbb55,Education,LU,medium,2038-02-05 00:00:00.000,1343171,0,0,527,30600.035639456,79,false,false,false,true,1,0,1,1,1,1,5,Tier 1: High Propensity (Score 5-6)
f6c4f989,Software,GB,medium,2038-07-13 00:00:00.000,141634229,0,7339858,0,339126.441963252,418,false,false,false,true,1,0,1,1,1,1,5,Tier 1: High Propensity (Score 5-6)
f64f84ea,Business services,US,medium,2041-09-20 00:00:00.000,996241,0,0,75000,19484.411949417,85,false,false,false,true,1,0,1,1,1,1,5,Tier 1: High Propensity (Score 5-6)
d7042b4e,Ticketing & events,GB,large,2039-06-04 00:00:00.000,31357138053,0,0,21302191,18792366.6229946,418,false,false,false,true,1,0,1,1,1,1,5,Tier 1: High Propensity (Score 5-6)
254d7823,Software,US,small,2041-04-06 00:00:00.000,1443600,0,1443600,0,11997.494497346,54,false,false,false,true,1,1,1,1,1,0,5,Tier 1: High Propensity (Score 5-6)
a7db397e,Education,US,medium,2041-04-27 00:00:00.000,925000,0,925000,0,53015.327972201,17,false,false,false,true,0,1,1,1,1,1,5,Tier 1: High Propensity (Score 5-6)
5a3a0ea5,Education,US,medium,2041-02-03 00:00:00.000,10933300,0,0,0,129476.35646917,136,false,false,false,true,1,1,0,1,1,1,5,Tier 1: High Propensity (Score 5-6)
77bace1e,Education,GB,medium,2039-07-09 00:00:00.000,393891790,0,295782198,0,3901421.07674369,198,false,false,false,true,1,0,1,1,1,1,5,Tier 1: High Propensity (Score 5-6)
42bfd47f,"Religion, politics & other memberships",US,large,2041-09-27 00:00:00.000,2915000,0,0,135000,96664.511470228,36,false,false,false,true,0,1,1,1,1,1,5,Tier 1: High Propensity (Score 5-6)
